ticket_id,text,category,priority,channel,sentiment,resolution_status,response_time_hours,resolution_time_hours,customer_satisfaction,word_count,char_count,cleaned_text,text_length,unique_words
TKT-1001,"Hi, The item I received is defective and I need replacement Please let me know what steps I should take.",Returns & Refunds,Medium,Chat,Negative,Pending,2.04,8.14,2,20,104,item received defective need replacement please let know step take,104,10
TKT-1002,"Dear Support, My data is not syncing across devices properly I need urgent assistance with this.",Technical Support,High,Email,Negative,Pending,14.01,35.45,2,16,96,dear support data syncing across device properly need urgent assistance,96,10
TKT-1003,My store credit was not applied to my account I need urgent assistance with this.,Returns & Refunds,Low,Chat,Neutral,Resolved,13.57,38.36,5,15,81,store credit applied account need urgent assistance,81,7
TKT-1004,"Hi, Can I expedite the shipping on my recent order Please help me resolve this as soon as possible.",Shipping & Delivery,Low,Chat,Neutral,Resolved,36.91,52.95,4,19,99,expedite shipping recent order please help resolve soon possible,99,9
TKT-1005,"Good day, Why was my card declined when making a payment Please help me resolve this as soon as possible.",Billing & Payments,Medium,Email,Positive,Resolved,0.81,107.86,5,20,105,good day card declined making payment please help resolve soon possible,105,11
TKT-1006,I want to change the delivery address for my order Thank you for your help.,Shipping & Delivery,High,Phone,Neutral,Resolved,2.32,3.88,4,15,75,want change delivery address order thank help,75,7
TKT-1007,"Hi there, Error message appears every time I try to save Please help me resolve this as soon as possible.",Technical Support,Low,Phone,Negative,Resolved,8.97,61.82,4,20,105,error message appears every time try save please help resolve soon possible,105,12
TKT-1008,"Hi team, The export function produces corrupt files I have been waiting for a while now.",Technical Support,Low,Web Form,Negative,Pending,54.05,119.65,4,16,88,team export function produce corrupt file waiting,88,7
TKT-1009,"Good day, I need to change the email address on my account I have been waiting for a while now.",Account Management,Low,Email,Neutral,Resolved,11.81,34.6,5,20,95,good day need change email address account waiting,95,8
TKT-1010,"Hi team, My invoice shows incorrect amount, please fix it I need urgent assistance with this.",Billing & Payments,Medium,Email,Neutral,Resolved,19.45,22.23,5,16,93,team invoice show incorrect amount please fix need urgent assistance,93,10
TKT-1011,"Hi there, Please update my personal information in the system Please help me resolve this as soon as possible.",Account Management,High,Phone,Neutral,Resolved,4.91,20.58,5,19,110,please update personal information system please help resolve soon possible,110,9
TKT-1012,I sent the return package but got no confirmation I need urgent assistance with this.,Returns & Refunds,Low,Web Form,Neutral,Resolved,23.43,52.36,3,15,85,sent return package got confirmation need urgent assistance,85,8
TKT-1013,Can you explain the difference between basic and pro Please let me know what steps I should take.,Product Information,Medium,Chat,Neutral,Pending,26.19,49.19,2,18,97,explain difference basic pro please let know step take,97,9
TKT-1014,"To whom it may concern, I need a prepaid return label for my item This is affecting my work significantly.",Returns & Refunds,High,Phone,Negative,Resolved,2.72,11.6,4,20,106,may concern need prepaid return label item affecting work significantly,106,10
TKT-1015,"Hi, The item I received is defective and I need replacement This is affecting my work significantly.",Returns & Refunds,Low,Chat,Positive,Resolved,9.06,60.21,5,17,100,item received defective need replacement affecting work significantly,100,8
TKT-1016,"Good day, Please help me delete my account permanently I need urgent assistance with this.",Account Management,Low,Email,Neutral,Pending,1.92,26.56,2,15,90,good day please help delete account permanently need urgent assistance,90,10
TKT-1017,"Dear team, Is there a free trial available for your enterprise plan I have been waiting for a while now.",Product Information,Critical,Web Form,Negative,Resolved,1.63,2.63,5,20,104,dear team free trial available enterprise plan waiting,104,8
